터널명,터널종류,시설물종별등급구분,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,시군구코드,소재지지번주소,터널시작점위도,터널시작점경도,터널종료점위도,터널종료점경도,터널연장,터널폭,터널보도폭,터널높이,차로수,터널준공연도,최종안전점검일자,최종안전점검결과,최종안전점검유형,내진설계적용여부,내진성능확보여부,터널보수보강내역,터널보수보강비용,중계기종류,터널관리시스템적용여부,관리기관명,관리기관전화번호,데이터기준일자
녹전터널,도로터널,02,일반국도,일반국도31호선,31,양방향,강원특별자치도,영월군,51750,강원특별자치도 영월군 중동면 녹전리, 37.143900, 128.676540, 37.145672, 128.675797,200,7,0,7,2,2015,2024-07-29,B,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
이목터널,도로터널,02,일반국도,일반국도31호선,31,양방향,강원특별자치도,영월군,51750,강원특별자치도 영월군 중동면 녹전리, 37.148715, 128.674561, 37.149547, 128.674191,95,7,0,7,2,2015,2024-07-29,B,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
수라리터널,도로터널,02,일반국도,일반국도31호선,31,양방향,강원특별자치도,영월군,51750,강원특별자치도 영월군 중동면 화원리, 37.171520, 128.643344, 37.176367, 128.634610,945,7,0,6.9,2,2015,2024-07-29,A,정밀점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
도계1터널,도로터널,01,일반국도,일반국도38호선,38,양방향,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 도계읍 흥전리, 37.217424, 129.038760, 37.233118, 129.038357,1765,7,0,7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
도계2터널,도로터널,01,일반국도,일반국도38호선,38,양방향,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 도계읍 전두리, 37.233711, 129.038582, 37.242252, 129.044198,1077,7,0,7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
까칠재 터널,도로터널,02,일반국도,일반국도59호선,59,양방향,강원특별자치도,정선군,51770,강원특별자치도 정선군 정선읍 신월리, 37.369422, 128.691811, 37.368965, 128.687717,377,7,0,7.1,2,2006,2024-11-07,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
각한터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,영월군,51750,강원특별자치도 영월군 남면 연당리, 37.186593, 128.416666, 37.185079, 128.427206,950,9.8,2.5,6.8,2,2004,2024-06-30,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
방절터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,영월군,51750,강원특별자치도 영월군 영월읍 방절리, 37.184416, 128.432092, 37.184160, 128.434660,200,9.8,2.5,6.8,2,2004,2024-06-30,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
영월1터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,영월군,51750,강원특별자치도 영월군 영월읍 방절리, 37.191325, 128.454431, 37.192791, 128.459797,460.5,9.8,2.5,6.8,2,2004,2024-06-30,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
영월2터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,영월군,51750,강원특별자치도 영월군 영월읍 영흥리, 37.193268, 128.461597, 37.194186, 128.472646,948,9.8,2.5,6.8,2,2004,2024-06-30,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
봉래터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,영월군,51750,강원특별자치도 영월군 영월읍 영흥리, 37.192799, 128.475812, 37.188413, 128.485079,913,9.8,2.5,6.8,2,2004,2024-06-30,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
사북1터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,정선군,51770,강원특별자치도 정선군 사북읍 사북리, 37.227850, 128.823494, 37.227214, 128.825608,258,9.3,2.3,6.7,2,2006,2024-10-25,A,정밀점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
사북2터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,정선군,51770,강원특별자치도 정선군 사북읍 사북리, 37.226772, 128.826814, 37.220534, 128.832555,859,9.3,2.3,6.7,2,2006,2024-06-26,B,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
고한터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,정선군,51770,강원특별자치도 정선군 고한읍 고한리, 37.199266, 128.859549, 37.196304, 128.864282,570,9.3,2.3,6.7,2,2006,2024-06-26,B,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
석항2터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,영월군,51750,강원특별자치도 영월군 중동면 연상리, 37.194997, 128.593747, 37.195333, 128.597882,325,10,3,6.7,2,2007,2024-06-24,B,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
석항1터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,영월군,51750,강원특별자치도 영월군 영월읍 연하리, 37.193731, 128.577611, 37.194649, 128.589247,990,10.3,3.3,6.8,2,2007,2024-06-30,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
반송터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,영월군,51750,강원특별자치도 영월군 영월읍 연하리, 37.186613, 128.542407, 37.187390, 128.545317,265,10,3,6.7,2,2007,2024-06-30,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
증산터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,정선군,51770,강원특별자치도 정선군 남면 무릉리, 37.235133, 128.783336, 37.232047, 128.787815,503,9.6,2.6,6.7,2,2009,2024-12-19,B,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
고사1터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 도계읍 고사리, 37.272343, 129.067067, 37.277214, 129.069788,585,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
고사2터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 도계읍 산기리, 37.278938, 129.070105, 37.284572, 129.068873,625,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
발이터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 도계읍 발이리, 37.287107, 129.067635, 37.290049, 129.066593,340,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
마차1터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 도계읍 발이리, 37.296805, 129.068024, 37.300363, 129.069884,436,7,0,6,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
대평터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 신기면 대평리, 37.335869, 129.085516, 37.337311, 129.087006,216,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
상정터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 미로면 상정리, 37.377044, 129.101196, 37.381762, 129.101892,495,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
상정터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 미로면 상정리, 37.381799, 129.101560, 37.377270, 129.100895,510,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
신기터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 신기면 신기리, 37.343412, 129.090456, 37.348336, 129.090130,590,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
천기1터널(상),도로터널,01,일반국도,일반국도38호선,38,상행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 신기면 신기리, 37.350900, 129.090838, 37.370115, 129.099002,2235,7,0,6.9,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
천기1터널(하),도로터널,01,일반국도,일반국도38호선,38,하행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 미로면 천기리, 37.370147, 129.098619, 37.350893, 129.090452,2235,7,0,6.9,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
천기2터널(상),도로터널,02,일반국도,일반국도38호선,38,상행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 미로면 천기리, 37.375069, 129.100842, 37.376438, 129.101100,165,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
각한터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,영월군,51750,강원특별자치도 영월군 남면 광천리, 37.185393, 128.427125, 37.186852, 128.416868,915,9.8,2.5,6.8,2,2004,2024-06-30,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
방절터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,영월군,51750,강원특별자치도 영월군 영월읍 방절리, 37.184448, 128.434700, 37.184682, 128.432125,205,9.8,2.5,6.8,2,2004,2024-06-30,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
영월1터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,영월군,51750,강원특별자치도 영월군 영월읍 영흥리, 37.192674, 128.458297, 37.191519, 128.454029,350,9.8,2.5,6.8,2,2004,2024-06-30,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
영월2터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,영월군,51750,강원특별자치도 영월군 영월읍 영흥리, 37.194468, 128.472781, 37.193539, 128.461535,955,9.8,2.5,6.8,2,2004,2024-06-30,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
봉래터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,영월군,51750,강원특별자치도 영월군 영월읍 영흥리, 37.188627, 128.485393, 37.193176, 128.475763,969.5,9.8,2.5,6.8,2,2004,2024-06-30,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
두문동재2터널,도로터널,01,일반국도,일반국도38호선,38,하행,강원특별자치도,정선군,51770,강원특별자치도 정선군 고한읍 고한리, 37.207484, 128.900316, 37.207445, 128.928339,2470,10.7,3.7,7.2,2,2004,2024-06-26,B,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
사북1터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,정선군,51770,강원특별자치도 정선군 사북읍 사북리, 37.227541, 128.825745, 37.228424, 128.822792,179,9.3,2.3,6.7,2,2006,2024-07-19,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
사북2터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,정선군,51770,강원특별자치도 정선군 고한읍 고한리, 37.220595, 128.832996, 37.227094, 128.827114,865,9.3,2.3,6.7,2,2006,2024-06-26,B,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
고한터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,정선군,51770,강원특별자치도 정선군 고한읍 고한리, 37.196450, 128.864734, 37.199629, 128.859682,505,9.3,2.3,6.7,2,2006,2024-06-26,B,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
석항2터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,영월군,51750,강원특별자치도 영월군 중동면 연상리, 37.195667, 128.598317, 37.195266, 128.593505,404,10,3,6.7,2,2007,2024-06-30,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
석항1터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,영월군,51750,강원특별자치도 영월군 중동면 연상리, 37.194917, 128.589247, 37.194003, 128.577619,980,10.3,3.3,6.8,2,2007,2024-06-30,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
반송터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,영월군,51750,강원특별자치도 영월군 영월읍 연하리, 37.187659, 128.545086, 37.186953, 128.542411,220,10,3,6.7,2,2007,2024-06-30,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
증산터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,정선군,51770,강원특별자치도 정선군 남면 무릉리, 37.232441, 128.787729, 37.235332, 128.783560,484.7,9.6,2.6,6.7,2,2009,2024-10-25,A,정밀점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
멧둔재터널(하),도로터널,01,일반국도,일반국도42호선,42,하행,강원특별자치도,평창군,51760,강원특별자치도 평창군 미탄면 창리, 37.340189, 128.463391, 37.346383, 128.451873,1245,7,0,7.3,2,2015,2024-06-15,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
비행기재터널(하),도로터널,02,일반국도,일반국도42호선,42,하행,강원특별자치도,정선군,51770,강원특별자치도 정선군 정선읍 광하리, 37.350335, 128.566973, 37.344881, 128.560456,856,7,0,6.7,2,2015,2024-12-23,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
고사1터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 도계읍 산기리, 37.277140, 129.069402, 37.272857, 129.067030,550,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
고사2터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 도계읍 고사리, 37.284522, 129.068533, 37.279250, 129.069770,590,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
발이터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 도계읍 발이리, 37.290570, 129.066151, 37.286864, 129.067363,410,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
마차1터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 신기면 마차리, 37.300392, 129.069859, 37.296722, 129.067988,435,7,0,6,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
대평터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 신기면 대평리, 37.337324, 129.086995, 37.335869, 129.085511,216,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
신기터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 신기면 신기리, 37.347400, 129.089824, 37.343634, 129.090101,440,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
천기2터널(하),도로터널,02,일반국도,일반국도38호선,38,하행,강원특별자치도,삼척시,51230,강원특별자치도 삼척시 미로면 상정리, 37.376368, 129.100754, 37.375140, 129.100516,150,7,0,6.7,2,2016,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
장전터널,도로터널,02,일반국도,일반국도59호선,59,양방향,강원특별자치도,평창군,51760,강원특별자치도 평창군 진부면 막동리, 37.490630, 128.578151, 37.495226, 128.570932,820,7,0,7.5,2,2018,2024-11-07,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
연덕터널,도로터널,02,일반국도,일반국도31호선,31,양방향,강원특별자치도,영월군,51750,강원특별자치도 영월군 북면 연덕리, 37.275587, 128.416633, 37.280836, 128.414637,610,7.5,0,4.8,2,2017,2024-06-15,B,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
원동터널,도로터널,02,일반국도,일반국도31호선,31,양방향,강원특별자치도,영월군,51750,강원특별자치도 영월군 북면 덕상리, 37.292624, 128.396369, 37.297647, 128.393129,640,7.5,0,4.8,2,2017,2024-06-15,B,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
응암터널,도로터널,02,일반국도,일반국도31호선,31,양방향,강원특별자치도,평창군,51760,강원특별자치도 평창군 평창읍 응암리, 37.325517, 128.375866, 37.327605, 128.376093,258,7.5,0,4.5,2,2017,2024-06-15,B,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
아우라지터널,도로터널,02,일반국도,일반국도42호선,42,양방향,강원특별자치도,정선군,51770,강원특별자치도 정선군 여량면 여량리, 37.469076, 128.729178, 37.469427, 128.734471,380,9.2,1.5,6.6,2,2017,2024-06-21,B,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
솔치재터널,도로터널,02,일반국도,일반국도42호선,42,양방향,강원특별자치도,정선군,51770,강원특별자치도 정선군 정선읍 용탄리, 37.369027, 128.620828, 37.375394, 128.623824,770,11.3,3.8,7.5,2,2018,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
정선터널,도로터널,01,일반국도,일반국도42호선,42,양방향,강원특별자치도,정선군,51770,강원특별자치도 정선군 정선읍 봉양리, 37.387651, 128.644683, 37.390669, 128.664963,1874,11.3,3.8,7.3,2,2018,2024-12-15,B,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
뱃재터널(상),도로터널,01,일반국도,일반국도31호선,31,상행,강원특별자치도,평창군,51760,강원특별자치도 평창군 평창읍 주진리, 37.411569, 128.418103, 37.426872, 128.422199,1740,9,0,6.8,2,2018,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
뱃재터널(하),도로터널,01,일반국도,일반국도31호선,31,하행,강원특별자치도,평창군,51760,강원특별자치도 평창군 방림면 방림리, 37.426583, 128.421809, 37.411716, 128.417823,1692,9,0,6.8,2,2018,2024-12-23,A,정기점검,적용,Y,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
여량터널,도로터널,02,일반국도,일반국도42호선,42,양방향,강원특별자치도,정선군,51770,강원특별자치도 정선군 여량면 여량리, 37.469629, 128.710544, 37.470363, 128.715090,415.5,10.5,0,6.6,2,2024,2024-05-05,A,정밀점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
덕우터널,도로터널,02,일반국도,일반국도59호선,59,양방향,강원특별자치도,정선군,51770,강원특별자치도 정선군 정선읍 덕우리, 37.355570, 128.714667, 37.357320, 128.713259,225,9.5,0,4.8,2,2024,2024-12-31,A,정기점검,미적용,N,,,,N,원주청 정선사무소,033-560-0748,2024-12-31
양안지하차도,지하차도,03,일반국도,일반국도1호선,1,양방향,세종특별자치시,세종시,36110,세종특별자치시 세종시 전의면 유천리, 36.680915, 127.178962, 36.680784, 127.179238,29.6,20.9,4.9,7.8,4,2000,2024-12-17,B,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
솔티터널,도로터널,02,일반국도,일반국도39호선,39,양방향,충청남도,청양군,44790,충청남도 청양군 정산면 송학리, 36.463608, 126.950136, 36.467159, 126.947615,400,10,3.2,6.7,2,1992,2024-02-02,B,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
마티터널(상),도로터널,02,일반국도,일반국도32호선,32,상행,충청남도,공주시,44150,충청남도 공주시 반포면 마암리, 36.409900, 127.221077, 36.403582, 127.223651,700,9.8,2.8,6.9,2,1997,2024-12-11,B,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
차령터널(상),도로터널,02,일반국도,일반국도23호선,23,상행,충청남도,공주시,44150,충청남도 공주시 정안면 인풍리, 36.650716, 127.125960, 36.655090, 127.126770,490,10,3,6.7,2,2001,2024-12-11,B,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
연미터널(상),도로터널,02,일반국도,일반국도32호선,32,상행,충청남도,공주시,44150,충청남도 공주시 우성면 신웅리, 36.478083, 127.099591, 36.476831, 127.109482,858,10.3,3.3,6.7,2,2004,2024-12-17,A,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
금산터널(상),도로터널,01,일반국도,일반국도17호선,17,상행,충청남도,금산군,44710,충청남도 금산군 추부면 요광리, 36.221412, 127.487528, 36.233981, 127.481610,1470,10.5,3.2,7,2,2006,2024-12-11,B,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
계룡1터널(상),도로터널,01,일반국도,일반국도1호선,1,상행,대전광역시,유성구,30200,대전광역시 유성구 세동 , 36.320727, 127.264011, 36.344314, 127.264509,2600,10.5,3.5,7.5,2,2006,2024-12-11,B,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
계룡2터널(상),도로터널,02,일반국도,일반국도1호선,1,상행,충청남도,공주시,44150,충청남도 공주시 반포면 학봉리, 36.344711, 127.264482, 36.351034, 127.263974,706,10,3,6.8,2,2006,2024-12-11,B,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
사비터널(상),도로터널,02,일반국도,일반국도4호선,4,상행,충청남도,부여군,44760,충청남도 부여군 부여읍 능산리, 36.266943, 126.967274, 36.259513, 126.970495,860,9,2,6.9,2,2009,2024-12-11,C,정기점검,적용,Y,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
신평터널(상),도로터널,02,일반국도,일반국도37호선,37,상행,충청남도,금산군,44710,충청남도 금산군 추부면 신평리, 36.232941, 127.504888, 36.238146, 127.506198,586,7,0,6.7,2,2013,2024-12-17,A,정기점검,적용,Y,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
상지터널(상),도로터널,02,일반국도,일반국도37호선,37,상행,충청북도,옥천군,43730,충청북도 옥천군 군서면 상지리, 36.238664, 127.506332, 36.242675, 127.507348,440,7,0,6.7,2,2013,2024-12-11,A,정기점검,적용,Y,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
수산터널(상),도로터널,02,일반국도,일반국도43호선,43,상행,세종특별자치시,세종시,36110,세종특별자치시 세종시 연기면 수산리, 36.544092, 127.216059, 36.544594, 127.207366,774,7,0,6.7,2,2013,2024-12-08,B,정기점검,적용,Y,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
어물1터널(상),도로터널,02,일반국도,일반국도43호선,43,상행,충청남도,공주시,44150,충청남도 공주시 정안면 어물리, 36.609748, 127.144077, 36.612996, 127.134953,940,7,0,6.7,2,2013,2024-12-11,B,정기점검,적용,Y,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
어물2터널(상),도로터널,02,일반국도,일반국도43호선,43,상행,충청남도,공주시,44150,충청남도 공주시 정안면 어물리, 36.604733, 127.149977, 36.606406, 127.148360,247,7,0,6.7,2,2013,2024-12-11,B,정기점검,적용,Y,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
어물3터널(상),도로터널,01,일반국도,일반국도43호선,43,상행,충청남도,공주시,44150,충청남도 공주시 의당면 덕학리, 36.594742, 127.161139, 36.603135, 127.151425,1300,7,0,6.9,2,2013,2024-12-17,A,정기점검,적용,Y,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
마티터널(하),도로터널,02,일반국도,일반국도32호선,32,하행,충청남도,공주시,44150,충청남도 공주시 반포면 봉곡리, 36.403757, 127.224020, 36.409908, 127.221429,705,9.8,2.8,6.9,2,1997,2024-12-11,B,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
차령터널(하),도로터널,02,일반국도,일반국도23호선,23,하행,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 광덕면 원덕리, 36.654741, 127.126344, 36.650727, 127.125602,445,10,3,6.7,2,2001,2024-12-11,B,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
연미터널(하),도로터널,02,일반국도,일반국도32호선,32,하행,충청남도,공주시,44150,충청남도 공주시 쌍신동 , 36.477097, 127.109555, 36.478351, 127.099628,858,10.3,3.3,6.7,2,2004,2024-12-17,A,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
금산터널(하),도로터널,01,일반국도,일반국도17호선,17,하행,대전광역시,동구,30110,대전광역시 동구 삼괴동 , 36.233851, 127.481312, 36.221427, 127.487164,1450,7,0,7,2,2006,2024-12-11,B,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
계룡1터널(하),도로터널,01,일반국도,일반국도1호선,1,하행,충청남도,공주시,44150,충청남도 공주시 반포면 학봉리, 36.344297, 127.264197, 36.319881, 127.263613,2665,10.5,3.5,7.5,2,2006,2024-12-11,A,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
계룡2터널(하),도로터널,02,일반국도,일반국도1호선,1,하행,충청남도,공주시,44150,충청남도 공주시 반포면 온천리, 36.351237, 127.263697, 36.344651, 127.264173,695,10,3,6.8,2,2006,2024-12-11,B,정기점검,미적용,N,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
사비터널(하),도로터널,02,일반국도,일반국도4호선,4,하행,충청남도,부여군,44760,충청남도 부여군 석성면 정각리, 36.259653, 126.970707, 36.266839, 126.967666,820,9,2,6.9,2,2009,2024-12-11,C,정기점검,적용,Y,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
신평터널(하),도로터널,02,일반국도,일반국도37호선,37,하행,충청남도,금산군,44710,충청남도 금산군 추부면 성당리, 36.238211, 127.505901, 36.232594, 127.504430,640,7,0,6.7,2,2013,2024-12-17,A,정기점검,적용,Y,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
상지터널(하),도로터널,02,일반국도,일반국도37호선,37,하행,충청남도,금산군,44710,충청남도 금산군 추부면 신평리, 36.242861, 127.507049, 36.238719, 127.506032,439,7,0,6.7,2,2013,2024-12-11,A,정기점검,적용,Y,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
수산터널(하),도로터널,02,일반국도,일반국도43호선,43,하행,세종특별자치시,세종시,36110,세종특별자치시 세종시 장군면 용암리, 36.544387, 127.207058, 36.543849, 127.216003,797,7,0,6.7,2,2013,2024-12-11,B,정기점검,적용,Y,,,,N,대전청 논산사무소,041-730-5866,2024-12-31
