회사명,지식산업센터명,입지,등록일,공장주소,전화번호,팩스번호,종업원,생산품,업종명,데이터기준일자
(주)와이비즈,,계획입지,2023-09-04,"서울특별시 금천구 벚꽃로 286 12층 1212호 (가산동, 삼성리더스타워)",02-853-1112,,9,"수분센서, 소프트웨어 개발, 토양수분측정기",기타 무선 통신장비 제조업 외 2 종,2025-10-31
(주)와이비케이글로벌,,계획입지,2024-04-15,"서울특별시 금천구 가산디지털1로 30 6층 612호 (가산동, 에이스하이엔드타워10)",02-2135-1268,,3,"CCTV, POE",방송장비 제조업 외 1 종,2025-10-31
(주)와이앤엠시스템즈,,계획입지,2024-05-16,"서울특별시 금천구 가산디지털1로 119, A동 11층 1108호(가산동, SK트윈테크타워)",02-702-3337,,7,비디오 및 영상기기,방송장비 제조업 외 1 종,2025-10-31
(주)와이앤엠시스템즈,,계획입지,2022-10-11,"서울특별시 금천구 범안로 1126 9층 905호 (가산동, 대륭21차)", ,,6,CCTV 등 비디오 영상기기,비디오 및 기타 영상기기 제조업 외 1 종,2025-10-31
(주)와이앤엠시스템즈,,계획입지,2024-06-03,"서울특별시 금천구 가산디지털2로 135 7층 707호 (가산동, 가산 어반워크I) 외 4필지",02-727-3337,,6,방송용 비디오 카메라,방송장비 제조업 외 1 종,2025-10-31
(주)와이에이치비에코,,계획입지,2014-05-28,서울특별시 금천구 가산디지털2로 14 5층 501호 (가산동),02-2029-6400,,5,"집진기,이동식에어컨",기체 여과기 제조업 외 1 종,2025-10-31
(주)와이엘사이언스,,계획입지,2021-07-01,"서울특별시 금천구 가산디지털2로 46, 1동 12층 1201호(가산동, 에이스태세라타워) 외 8필지", ,,18,"무선충전기, 마스크(OEM), 손세정젤(OEM)",기타 전기 변환장치 제조업 외 2 종,2025-10-31
(주)와이엘코퍼레이션,,계획입지,2020-05-15,"서울특별시 금천구 가산디지털1로 119, B동 3층 B-310호 (가산동, SK트윈테크타워)",1833-5914,,7,PCB 반제품,전자부품 실장기판 제조업,2025-10-31
(주)와이제이시스템,,계획입지,2021-10-19,"서울특별시 금천구 가마산로 96, 14층 1401호(가산동, 대륭테크노타운8차)",02-3281-8945,,13,배전반,배전반 및 전기 자동제어반 제조업,2025-10-31
(주)와이제이엠,,계획입지,2022-12-15,"서울특별시 금천구 가산디지털1로 1, 1동 8층 807호 (가산동, 더루벤스밸리)",02-6954-5677,,3,"플라스틱판, 3D 프린터용 소재 등",기타 플라스틱 발포 성형제품 제조업 외 4 종,2025-10-31
(주)와이즈테크놀로지,,계획입지,2024-08-13,"서울특별시 금천구 가산디지털1로 30, 1동 3층 306호(가산동, 에이스하이엔드타워10) 외 3필지",02-6299-5289,,8,차압 트랜스미터,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
(주)용비이엔지,,계획입지,2011-04-19,서울특별시 금천구 가마산로 96 7층 706호 (가산동),02-2647-6703,,7,방진기구,육상 금속 골조 구조재 제조업 외 1 종,2025-10-31
(주)우경광학,,계획입지,2025-02-11,"서울특별시 금천구 디지털로 178, B동 12층 OB-1222호 (가산동)", ,,0,지문인식기 모듈개발,기타 광학기기 제조업,2025-10-31
(주)우리원컴,,계획입지,2016-10-10,"서울특별시 금천구 가산디지털1로 119, A동 10층 A-1007호 (가산동, SK트윈테크타워)",02-862-0435,,6,가스부피환산장치,기기용 자동측정 및 제어장치 제조업,2025-10-31
(주)우리일렉트로닉스,,계획입지,2020-07-29,"서울특별시 금천구 가산디지털1로 119, A동 4층 A-409호 (가산동, SK트윈테크타워)",02-6292-2666,,13,자동온도조절기,기기용 자동측정 및 제어장치 제조업,2025-10-31
(주)우리종합계측기,,계획입지,2021-04-28,"서울특별시 금천구 가산디지털1로 225, 1동 5층 518호(가산동, 에이스 가산 포휴) 외 1필지",02-2625-3105,,4,산업용 측정기기,"전자기 측정, 시험 및 분석기구 제조업",2025-10-31
(주)우리종합계측기 가산디케이지점,,계획입지,2023-12-29,서울특별시 금천구 가산디지털2로 144 6층 621호  (가산동) 외 2필지,02-2625-3105,,5,전기 안전 시험기,"전자기 측정, 시험 및 분석기구 제조업",2025-10-31
(주)우리티엔에스,,계획입지,2010-08-17,"서울특별시 금천구 디지털로9길 32, B동 13층 1303호 (가산동)",02-852-7733,,11, ,배전반 및 전기 자동제어반 제조업,2025-10-31
(주)우신아이앤씨,,계획입지,2019-07-04,"서울특별시 금천구 가산디지털2로 184, 1동 4층 406호 (가산동, 벽산/경인디지털밸리2)",02-882-7961,,10,"CCTV카메라, 방송장비 등",유선 통신장비 제조업 외 4 종,2025-10-31
(주)우신아이앤씨,,계획입지,2024-09-13,"서울특별시 금천구 가산디지털1로 205, 8층 804호(가산동, 케이씨씨 웰츠밸리)",02-882-7961,,8,CCTV,방송장비 제조업,2025-10-31
(주)우심시스템,,계획입지,2022-04-20,서울특별시 금천구 가산디지털2로 115 (가산동) 대륭테크노타운3차 1동 5층 501호,02-2107-3715,,70,휴대용 미니프린터,컴퓨터 프린터 제조업,2025-10-31
(주)우양테크에프에이,,계획입지,2008-07-22,"서울특별시 금천구 가산디지털2로 14 11층 1104호 (가산동, 대륭테크노타운12차)",02-2029-6304,,8,컨베이어장치,컨베이어장치 제조업 외 1 종,2025-10-31
(주)우영에너지홀딩스,,계획입지,2022-07-01,"서울특별시 금천구 가산디지털2로 43-14, 17층 1721호(가산동) 외 4필지",02-2268-8832,,0,리튬이온 이차전지 ,축전지 제조업,2025-10-31
(주)우전,,계획입지,2016-04-20,"서울특별시 금천구 가산디지털1로 33-23 (가산동, 2동)",02-2105-0776,,50,금형(전자부품),주형 및 금형 제조업,2025-10-31
(주)우주시큐리티,,계획입지,2010-04-23,"서울특별시 금천구 가산디지털1로 2 5층 513호 (가산동, 우림라이온스밸리2차)",02-2626-4380,,3,DVR외,비디오 및 기타 영상기기 제조업,2025-10-31
(주)우진유비컴,,계획입지,2020-01-17,"서울특별시 금천구 디지털로 121 17층 1701호 (가산동, 에이스가산타워)",02-2626-9937,,4,산업용컴퓨터,컴퓨터 제조업,2025-10-31
(주)우진펌프테크,,계획입지,2015-09-22,"서울특별시 금천구 가산디지털1로 25 지하1층 B108호 (가산동, 대륭테크노타운17차)",02-2083-2795,,5,액체펌프제조,액체 펌프 제조업,2025-10-31
(주)우현디지털,,계획입지,2019-06-10,"서울특별시 금천구 가산디지털1로 119, A동 8층 A-801호 (가산동, SK트윈테크타워)",070-8274-8088,,8,CCTV용 영상저장장치(DVR),비디오 및 기타 영상기기 제조업,2025-10-31
(주)욱일코퍼레이션,,계획입지,2022-11-10,"서울특별시 금천구 벚꽃로 244 B1층 B107호 (가산동, 벽산디지털밸리5차)",02-858-8688,,6,"스크린인쇄제판,두께측정기(디지털)","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",2025-10-31
(주)욱일프레시젼,,계획입지,2016-11-02,"서울특별시 금천구 벚꽃로 244 1층 101호 (가산동, 벽산디지털밸리5차)",02-866-8821,,3,고속가공,절삭가공 및 유사처리업,2025-10-31
(주)운수레스,,계획입지,2014-11-19,"서울특별시 금천구 가산디지털1로 104 (가산동, F) 3층",02-540-2057,,22,레이스(디자인 및 샘플),그 외 기타 분류 안된 섬유제품 제조업,2025-10-31
(주)워시스,,계획입지,2006-07-10,"서울특별시 금천구 가산디지털1로 212 9층 905호 (가산동, 코오롱디지털타워애스턴)",02-2604-9252,,12,정수기외,액체 여과기 제조업,2025-10-31
(주)워터핀,,계획입지,2025-02-19,"서울특별시 금천구 디지털로9길 68, 1동 B1층 B103호 (가산동, 대륭포스트타워 5차) 외 2필지",070-4304-2564,,4,"BWMS 온라인 TRO 모니터링 장치, 샌서 기술 연구개발 및 설계 등",그 외 기타 특수목적용 기계 제조업 외 1 종,2025-10-31
(주)원방하이테크,,계획입지,2013-03-07,서울특별시 금천구 범안로 1130 10층 1007호 (가산동),02-2624-2980,,3,피뢰기 감시장비 외,"전기회로 개폐, 보호장치 제조업 외 3 종",2025-10-31
(주)원비전코리아,,계획입지,2016-02-05,"서울특별시 금천구 가산디지털1로 30 10층 1008호 (가산동, 에이스하이엔드타워10) 외 1필지",02-895-0101,,2,모니터,컴퓨터 모니터 제조업,2025-10-31
(주)원제로소프트,,계획입지,2025-02-25,서울특별시 금천구 가산디지털1로 5 지하2층 B208호 (가산동),070-7012-3079,,21,"인쇄, 제본 책자",제책업 외 1 종,2025-10-31
(주)원퓨트,,계획입지,2021-11-15,서울특별시 금천구 가산디지털1로 16 5층 515-F호  (가산동) 서울특별시 금천구 가산디지털1로 16 (가산동)동 5층 515-F호,070-4617-0430,,5,데스크탑 컴퓨터,컴퓨터 제조업 외 1 종,2025-10-31
(주)월드린시스템즈,,계획입지,2016-05-20,"서울특별시 금천구 가산디지털1로 119, B동 3층 B-311호 (가산동)",02-3461-5940,,14,"덴탈정수기,핸드드라이어",액체 여과기 제조업 외 1 종,2025-10-31
(주)월드림,,계획입지,2022-10-11,서울특별시 금천구 가산디지털1로 225 (가산동) 에이스 가산 포휴(지식산업센터) 1동 4층 415호 외 1필지,02-6116-6265,,3,"LCD 브라켓, 포장 및 충전업",일반철물 제조업 외 1 종,2025-10-31
(주)월드와이드네트트레이닝,,계획입지,2020-10-27,"서울특별시 금천구 가산디지털1로 212 6층 602호 (가산동, 코오롱디지털타워애스턴) 외 1필지",02-3281-7401,,15,의류,모피제품 제조업 외 1 종,2025-10-31
(주)웨이브컴,,계획입지,2009-10-27,"서울특별시 금천구 디지털로9길 56 10층 1007호 (가산동, 코오롱테크노밸리) 외 2필지",02-852-2288,,21,유.무선통신중계기,유선 통신장비 제조업 외 5 종,2025-10-31
(주)웨이브코리아,,계획입지,2021-07-16,"서울특별시 금천구 가산디지털1로 88 12층 1204호 (가산동, IT프리미어타워)", ,,4,목욕용 조제품,화장품 제조업,2025-10-31
(주)웨이브파워,,계획입지,2021-04-27,"서울특별시 금천구 가산디지털2로 173 9층 902호 (가산동, 에이스 비즈포레 지식산업센터)",02-3489-3232,,7,안테나,기타 무선 통신장비 제조업,2025-10-31
(주)웰오프,,계획입지,2024-05-10,서울특별시 금천구 디지털로9길 65 7층 705호 (가산동),02-867-1905,,2,디스크 어레이,기억장치 제조업,2025-10-31
(주)위너스해성,,계획입지,2021-05-25,"서울특별시 금천구 가산디지털2로 115 6층 611호 (가산동, 대륭테크노타운3차)",031-256-1709,,31,전기자동조정 및 제어장치,배전반 및 전기 자동제어반 제조업,2025-10-31
(주)위너티씨에스,,계획입지,2010-05-04,"서울특별시 금천구 가산디지털2로 98, 1동 8층 13호 (가산동, 아이티캐슬)",02-6405-3060,,6,"자동제어반,데이터로거",산업처리공정 제어장비 제조업,2025-10-31
(주)위드앤아이티,,계획입지,2018-05-30,"서울특별시 금천구 가산디지털1로 30 15층 1505호 (가산동, 에이스하이엔드타워10)",02-2671-3880,,3,네트워크 스토리지,기억장치 제조업 외 1 종,2025-10-31
(주)위드인텍,,계획입지,2024-02-26,"서울특별시 금천구 가산디지털1로 58 10층 1014호 (가산동, 에이스한솔타워)",02-2081-8991,,5,"제어장피판넬, 주파수조절기 등",기타 무선 통신장비 제조업 외 9 종,2025-10-31
(주)위딧,,계획입지,2020-06-24,"서울특별시 금천구 디지털로9길 56 6층 610호 (가산동, 코오롱테크노밸리)",070-4229-8113,,1,"수술용 로봇 제조 및 관련 설계, 엔지니어링",그 외 기타 일반목적용 기계 제조업 외 1 종,2025-10-31
(주)위앤기전,,계획입지,2009-07-17,"서울특별시 금천구 가산디지털2로 14 12층 1215호 (가산동, 대륭테크노타운12차)",02-854-8705,,5,분전반외,배전반 및 전기 자동제어반 제조업 외 2 종,2025-10-31
(주)위즈브레인,,계획입지,2024-07-22,"서울특별시 금천구 가산디지털1로 100, 8층 801호(가산동) 외 3필지",02-3274-1666,,33,"MFCS, 실시간 영상정보 전시 및 공유장비, 소프트웨어 개발 및 자문",컴퓨터 제조업 외 2 종,2025-10-31
(주)위풋테크놀로지,,계획입지,2023-07-21,"서울특별시 금천구 디지털로9길 56 8층 801호 (가산동, 코오롱테크노밸리) 외 1필지",02-867-3389,,12,논슬립 양말,스타킹 및 기타 양말 제조업,2025-10-31
(주)유니덴트,,계획입지,2014-07-23,"서울특별시 금천구 가산디지털2로 108, 1동 9층 911호 (가산동, 뉴티캐슬)",02-2676-8175,,6,치과용 합금,의료용품 및 기타 의약 관련제품 제조업,2025-10-31
(주)유니덴트,,계획입지,2023-03-27,"서울특별시 금천구 가산디지털1로 146, 10층 1003호(가산동)", ,,0,치과용합금,의료용품 및 기타 의약 관련제품 제조업,2025-10-31
(주)유니드픽쳐,,계획입지,2022-03-23,"서울특별시 금천구 범안로 1142, 8층 813호(가산동, 하우스디 더 스카이밸리 가산2차)",02-855-5190,,1,피규어,인형 및 장난감 제조업,2025-10-31
(주)유니마이크로,,계획입지,2020-04-06,"서울특별시 금천구 가산디지털1로 168, B동 3층 309호 (가산동, 우림 라이온스밸리)",02-364-1878,,8,반도체 장비부품,기타 반도체소자 제조업 외 1 종,2025-10-31
(주)유니버셜코리아,,계획입지,2018-10-04,"서울특별시 금천구 가산디지털2로 53 10층 1008호 (가산동, 한라시그마밸리)",02-6116-6777,,5,"바란싱머신, 균형시험기","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 1 종",2025-10-31
(주)유니버스하이테크,,계획입지,2024-04-01,"서울특별시 금천구 디지털로9길 56 1층 107호 (가산동, 코오롱테크노밸리) 외 2필지",02-866-9061,,10,목금형,주형 및 금형 제조업,2025-10-31
(주)유니온테크,,계획입지,2019-03-26,"서울특별시 금천구 가산디지털1로 168, C동 2층 210호 (가산동, 우림 라이온스밸리) 외 2필지",02-2026-2336,,8,산업용 부품 등,"탭, 밸브 및 유사장치 제조업",2025-10-31
(주)유니온테크,,계획입지,2015-04-16,"서울특별시 금천구 가산디지털2로 115 3층 305-1호 (가산동, 대륭테크노타운3차) 외 1필지",02-2026-2336,,14,고압호스,"탭, 밸브 및 유사장치 제조업",2025-10-31
(주)유니정보,,계획입지,2021-06-09,서울특별시 금천구 가산디지털1로 171 (가산동) 1동 B1층 B119호 외 8필지,02-566-8792,,46,"마트관리SW, 라벨용지, 3D프린터출력물",기타 인쇄업 외 2 종,2025-10-31
(주)유니큐브,,계획입지,2022-12-01,"서울특별시 금천구 가산디지털1로 131, B동 7층 703호(가산동, BYC HIGHCITY) 외 2필지",070-8240-8002,,10,인쇄물,경 인쇄업 외 1 종,2025-10-31
(주)유니팩코리아,,계획입지,2021-11-01,"서울특별시 금천구 가산디지털1로 58, 13층 1311호(가산동, 에이스한솔타워)",02-864-7224,,3,"화장품 사출용기 제조, 디자인",포장용 플라스틱 성형용기 제조업 외 1 종,2025-10-31
(주)유라이트,,계획입지,2014-02-05,"서울특별시 금천구 가산디지털1로 219, 1동 3층 307호 (가산동, 벽산디지털밸리6차)",070-7435-0626,,2,조명제어시스템 부품,배전반 및 전기 자동제어반 제조업 외 1 종,2025-10-31
(주)유런테크,,계획입지,2012-04-10,"서울특별시 금천구 가산디지털1로 168, A동 9층 901호 (가산동) 외 1필지",02-2653-2366,,16,"컴퓨터,스토리지",컴퓨터 제조업 외 1 종,2025-10-31
(주)유브이솔루션즈,,계획입지,2021-01-21,"서울특별시 금천구 가마산로 96 12층 1212호 (가산동, 대륭테크노타운8차)", ,,3,UV 프린터용 UV 램프 제조,전구 및 램프 제조업,2025-10-31
(주)유비라인,,계획입지,2020-06-15,"서울특별시 금천구 디지털로9길 32, A동 16층 1602호 (가산동, 갑을그레이트밸리)",02-714-2400,,0,"자동응답장치, 동보장치",유선 통신장비 제조업 외 1 종,2025-10-31
(주)유성사,,계획입지,2006-10-11,"서울특별시 금천구 가산디지털2로 107 (가산동, (주)송윤사)",02-837-0700,,20,인쇄,경 인쇄업 외 1 종,2025-10-31
(주)유신텍,,계획입지,2024-05-17,"서울특별시 금천구 디지털로 178, OB-509호 (가산동) 외 1필지",02-8633-313,,0,제어시스템,배전반 및 전기 자동제어반 제조업,2025-10-31
(주)유엔아이코퍼레이션,,계획입지,2015-04-23,서울특별시 금천구 가산디지털1로 70 B1층 B113호 (가산동),02-2627-5145,,26,ABS수지,그 외 기타 플라스틱 제품 제조업,2025-10-31
(주)유윈시스템,,계획입지,,"서울특별시 금천구 가산디지털2로 98, 1동 5층 10~11호 (가산동, 아이티캐슬)",02-2026-8960,,5,시스템통합설계,컴퓨터시스템 통합 자문 및 구축 서비스업,2025-10-31
(주)유인케어,,계획입지,2019-11-06,"서울특별시 금천구 가산디지털1로 131, A동 6층 602호 (가산동)",02-6265-0944,,27,운동성시험평가장치 제조,그 외 기타 의료용 기기 제조업,2025-10-31
(주)유진셀,,계획입지,2015-09-07,"서울특별시 금천구 가산디지털2로 115 3층 301호 (가산동, 대륭테크노타운3차)",02-2108-5808,,6,진단기기,전기식 진단 및 요법 기기 제조업,2025-10-31
(주)유진앤룩,,계획입지,2014-12-15,"서울특별시 금천구 디지털로9길 57 5층 501호 (가산동, (주)한섬금천공장)",02-857-2373,,7,의류,여자용 겉옷 제조업,2025-10-31
(주)유진에스엔티,,계획입지,2021-01-15,서울특별시 금천구 벚꽃로24길 26 (가산동) 1동 7층 726호,070-8680-5086,,6,무인안내시스템/전광판/디지털사인이지,사무용 기계 및 장비 제조업 외 3 종,2025-10-31
(주)유카드소프트,,계획입지,2024-06-24,서울특별시 금천구 가산디지털1로 100 5층 510호  (가산동),02-2622-8855,,4,"전자카드 제작, 카드 프린팅, 카드출입 프로그램 개발 및 공급",전자카드 제조업 외 2 종,2025-10-31
(주)유칼릭스,,계획입지,2024-08-02,"서울특별시 금천구 가산디지털2로 169-23, 8층 801-1호 (가산동) 외 8필지",02-749-3800,,133,"방향제, 세정제","치약, 비누 및 기타 세제 제조업 외 1 종",2025-10-31
(주)유텍시스템즈,,계획입지,2021-06-03,"서울특별시 금천구 가산디지털2로 108, 1동 9층 908호 (가산동, 뉴티캐슬)",070-7931-1101,,4,"컴퓨터 부품, 방송프로그램",컴퓨터 제조업 외 3 종,2025-10-31
(주)유토닉스,,계획입지,2018-08-20,"서울특별시 금천구 가산디지털2로 70 17층 1707호 (가산동, 대륭테크노타운19차) 외 2필지",02-3283-3003,,20,무선인식기,유선 통신장비 제조업 외 1 종,2025-10-31
(주)유피씨코리아,,계획입지,2019-10-31,"서울특별시 금천구 벚꽃로 286 10층 1011호 (가산동, 삼성리더스타워)", ,,3,UPS 외함,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
(주)유한엔지니어링,,계획입지,2023-10-11,"서울특별시 금천구 가산디지털2로 115 10층 1001호 (가산동, 대륭테크노타운3차)",02-2107-3355,,20,"조화기,항습기,가습기 등","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 2 종",2025-10-31
(주)윤가먼트코퍼레이션,,계획입지,2015-10-13,"서울특별시 금천구 가산디지털1로 219, 1동 6층 602호 (가산동)",02-869-5555,,5,재킷,"근무복, 작업복 및 유사의복 제조업 외 2 종",2025-10-31
(주)윤폴리머,,계획입지,2023-06-27,"서울특별시 금천구 벚꽃로24길 26, 1동 5층 523호 (가산동, 에이스 하이엔드타워 클래식 지식산업센터)",02-868-6536,,5,"건축용 플라스틱 조립제품, 전시다이","플라스틱 포대, 봉투 및 유사제품 제조업",2025-10-31
(주)윤하,,계획입지,2022-09-23,"서울특별시 금천구 디지털로10길 78, 2층 233호(가산동) 외 1필지",02-6951-3618,,6,"편조의복, 의류 디자인",편조의복 제조업 외 1 종,2025-10-31
(주)이노디,,계획입지,2022-03-28,"서울특별시 금천구 가산디지털1로 219, 1동 8층 812호 (가산동, 벽산디지털밸리6차)",02-779-1113,,4,치과재료,치과용 기기 제조업,2025-10-31
(주)이노디,,계획입지,2022-03-23,서울특별시 금천구 가산디지털1로 225 (가산동) 에이스 가산 포휴(지식산업센터) 1동 4층 411호 외 1필지,02-757-1112,,11,치아모형,치과용 기기 제조업,2025-10-31
(주)이노쓰리디,,계획입지,2023-12-29,"서울특별시 금천구 가산디지털1로 225, 1동 4층 412호 (가산동, 에이스 가산 포휴)",02-6952-0692,,5,구강스캐너,전기식 진단 및 요법 기기 제조업,2025-10-31
(주)이노웨이브,,계획입지,2014-07-18,"서울특별시 금천구 가산디지털1로 205 6층 601호 (가산동, 케이씨씨 웰츠밸리)",02-556-1384,,5,커넥터-케이블 연결부품,전자부품 실장기판 제조업,2025-10-31
(주)이노타임,,계획입지,2019-04-11,"서울특별시 금천구 벚꽃로24길 26, 1동 8층 813호 (가산동, 에이스 하이엔드타워 클래식 지식산업센터) 외 1필지",070-8254-1101,,10,이어폰,기타 음향기기 제조업 외 1 종,2025-10-31
(주)이노테크,,계획입지,2021-03-31,"서울특별시 금천구 벚꽃로24길 26, 1동 4층 414호(가산동, 에이스 하이엔드타워 클래식 지식산업센터) 외 2필지",02-830-2317,,3,절삭가공부품,금속 절삭기계 제조업,2025-10-31
(주)이노푸스,,계획입지,2019-09-06,서울특별시 금천구 가마산로 96 12층 1201호 (가산동),02-861-7777,,5,"사료보조제, 탈취제",배합 사료 제조업 외 5 종,2025-10-31
(주)이디스텍,,계획입지,2022-05-10,"서울특별시 금천구 가산디지털1로 171, 1동 17층 1701호 (가산동, 가산 SK V1 center) 외 1필지",02-863-4770,,9,"회의용카메라,CCTV, 방송용카메라/콘트롤러",방송장비 제조업 외 1 종,2025-10-31
(주)이루팩,,계획입지,2017-02-07,"서울특별시 금천구 가산디지털1로 19 11층 1101호 (가산동, 대륭테크노타운18차)",02-807-8783,,31,화장품용기,포장용 플라스틱 성형용기 제조업,2025-10-31
(주)이리언스,,계획입지,2014-08-27,서울특별시 금천구 디지털로 130 5층 510호 (가산동),02-6239-3100,,18,홍채인식 출입통제장치,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
(주)이맥스그린,,계획입지,2014-06-19,"서울특별시 금천구 가산디지털1로 128 14층 1402호 (가산동, 에스티엑스브이타워) 에스티엑스브이타워",02-857-0123,,3,"Positiner,Trainer(전기전자실험기구제조)","전자기 측정, 시험 및 분석기구 제조업",2025-10-31
(주)이모텔리,,계획입지,2017-10-25,"서울특별시 금천구 가산디지털2로 156, 401호 (가산동, 대한통운 가산동 택배터널)",02-792-0000,,17,"USB메모리,가정용전기기기",기타 가정용 전기기기 제조업 외 1 종,2025-10-31
(주)이베스트,,계획입지,2020-05-08,서울특별시 금천구 디지털로10길 78 B2층 B219호 (가산동) 외 2필지,070-4896-3780,,8,컴퓨터 주변기기,기타 주변기기 제조업 외 4 종,2025-10-31
(주)이삭반도체,,계획입지,2023-10-19,서울특별시 금천구 가산디지털2로 144 4층 410호  (가산동) 외 2필지,02-2025-1235,,7,"USB, OTG메모리, 기프트 외",기억장치 제조업,2025-10-31
(주)이솝,,계획입지,2018-05-02,"서울특별시 금천구 벚꽃로 244 2층 204호 (가산동, 벽산디지털밸리5차) 외 1필지",02-2082-5441,,3,배전반 및 전기자동제어 장비,배전반 및 전기 자동제어반 제조업,2025-10-31
(주)이솝,,계획입지,2021-09-10,"서울특별시 금천구 가산디지털2로 70, 2층 214호(가산동, 대륭테크노타운19차) 외 5필지",02-3289-0771,,16,"배전반, 승강기자동제어판넬","전기회로 개폐, 보호장치 제조업 외 1 종",2025-10-31
(주)이수설비,,계획입지,2021-02-09,서울특별시 금천구 가산디지털1로 58 13층 1313호 (가산동),02-803-7813,,7,컨트롤 판넬 및 수질정화장치,그 외 기타 전기장비 제조업,2025-10-31
(주)이스텍씨엔에스,,계획입지,2022-08-26,"서울특별시 금천구 가산디지털2로 53 11층 1105호 (가산동, 한라시그마밸리)",02-6443-5560,,3,산업용 모니터,액정 표시장치 제조업 외 1 종,2025-10-31
(주)이스트림,,계획입지,2020-09-21,"서울특별시 금천구 가산디지털2로 18 6층 601호 (가산동, 대륭테크노타운1차) 601호",02-780-9466,,28,"미니PC, 컴퓨터, 컴퓨터통합시스템",컴퓨터 제조업 외 1 종,2025-10-31
(주)이스트코아,,계획입지,2022-04-15,"서울특별시 금천구 가산디지털2로 53, 7층 702호(가산동, 한라시그마밸리)",02-868-9238,,10,"산업용 프린터제조, 개발",컴퓨터 프린터 제조업,2025-10-31
(주)이슬림코리아,,계획입지,2019-04-02,"서울특별시 금천구 가산디지털2로 14 13층 1304호 (가산동, 대륭테크노타운12차) 외 5필지",02-715-1588,,75,컴퓨터서버,컴퓨터 제조업,2025-10-31
(주)이안,,계획입지,2022-10-14,"서울특별시 금천구 가산디지털1로 84, 1동 7층 704호 (가산동, 에이스하이엔드타워8차)", ,,0,산소분석기 TOC분석기등,"물질 검사, 측정 및 분석기구 제조업",2025-10-31
(주)이알코리아,,계획입지,2015-08-25,서울특별시 금천구 가마산로 96 3층 304호 (가산동),02-2618-6900,,7,금속구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-10-31
(주)이앤오즈,,계획입지,2024-12-03,"서울특별시 금천구 범안로 1126, 3층 308호(가산동, 대륭21차)",070-8250-7840,,0,"스마트테이블, AI 키오스크, 멀티미디어학습기기",전시용 모형 제조업 외 1 종,2025-10-31
(주)이어존,,계획입지,2020-07-13,"서울특별시 금천구 가산디지털1로 128 7층 706호 (가산동, 에스티엑스브이타워)", ,,17,"실물화상기,가이드시스템,무선마이크",기타 주변기기 제조업 외 2 종,2025-10-31
(주)이에스테크놀러지,,계획입지,2016-12-22,"서울특별시 금천구 벚꽃로 244 11층 1112호 (가산동, 벽산디지털밸리5차) 외 1필지",02-868-9228,,8,전기리프트,전동기 및 발전기 제조업,2025-10-31
(주)이엔드디,,계획입지,2015-10-07,"서울특별시 금천구 가산디지털1로 39, 1층 일부 (가산동)", ,,4,"자동차부품, 매연저감장치",그 외 자동차용 신품 부품 제조업 외 3 종,2025-10-31
(주)이엠비,,계획입지,2023-08-28,"서울특별시 금천구 가산디지털1로 84, 1동 8층 808호 (가산동, 에이스하이엔드타워8차)",070-7519-7442,,20,"TFT LCD 마더보드(OEM), 개인용 근적외선조사기, 유해환경측정기",그 외 기타 전자부품 제조업 외 3 종,2025-10-31
(주)이오닉스,,계획입지,2022-10-28,"서울특별시 금천구 가산디지털1로 5 지하3층 B301호 (가산동, 대륭테크노타운 20차) 외 8필지",02-2029-5678,,13,실장기판 전자부품,전자부품 실장기판 제조업 외 1 종,2025-10-31
(주)이온아이티,,계획입지,2019-01-09,"서울특별시 금천구 가산디지털2로 187, 2층 일부 (가산동)",02-2626-3980,,9,동보장치,유선 통신장비 제조업 외 1 종,2025-10-31
(주)이원오엠에스,,계획입지,2023-07-20,"서울특별시 금천구 가산디지털1로 119, B동 6층 B-612호 (가산동, SK트윈테크타워)",070-4211-0510,,14,"스마트거울, 조명거울",기타 판유리 가공품 제조업,2025-10-31
(주)이음유앤아이,,계획입지,2023-05-12,"서울특별시 금천구 가산디지털1로 233, 1동 5층 503호 (가산동, 에이스하이엔드타워9차)",02-838-0503,,12,CCTV,방송장비 제조업,2025-10-31
(주)이전산업,,계획입지,2014-06-30,"서울특별시 금천구 벚꽃로 244 2층 203호 (가산동, 벽산디지털밸리5차)",02-2082-5411,,7,감속기제조,기어 및 동력전달장치 제조업 외 1 종,2025-10-31
(주)이전산업,,계획입지,2021-01-26,서울특별시 금천구 벚꽃로24길 26 (가산동) 1동 3층 301호,02-6952-0835,,2,"컨베이어장치, 메인라벨지",컨베이어장치 제조업,2025-10-31
(주)이제이정보시스템,,계획입지,2024-11-25,서울특별시 금천구 디지털로9길 99 5층 501호 (가산동) 외 4필지,02-864-8278,,21,"전자칠판, 교육컨텐츠, LED안내전광판",전시 및 광고용 조명장치 제조업 외 5 종,2025-10-31
(주)이준시스템,,계획입지,2023-03-13,"서울특별시 금천구 가산디지털2로 11, 6층 601호(가산동, 에스비지니스센터) 외 2필지",02-3052-951,,25,산업용컴퓨터,컴퓨터 제조업,2025-10-31
