회사명,전화번호,공장대표주소(도로명),업종명,생산품,관리부서 ,관리부서 전화번호,데이터기준일
주식회사 린코리아,02-501-6160,"서울특별시 동대문구 답십리로64길 75, 2층 (장안동, 화성빌딩)",셔츠 및 블라우스 제조업 외 6 종,"의류, 티셔츠",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 모던,02-929-7218,"서울특별시 동대문구 천호대로17길 38, 2층 (용두동)",여자용 겉옷 제조업 외 3 종,유니폼,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 볼카노티앤디,02-2281-9651,서울특별시 동대문구 난계로28길 67 (신설동),셔츠 및 블라우스 제조업 외 4 종,"운동복,근무복",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 부광어패럴,02-929-9737,"서울특별시 동대문구 천호대로 79, 302호 (용두동)","근무복, 작업복 및 유사의복 제조업 외 3 종",근무복,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 비앤비네트웍스,070-7126-1550,"서울특별시 동대문구 장한로 37, 201호 (장안동)",전기회로 접속장치 제조업 외 1 종,자동제어 장치,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 새가온,,"서울특별시 동대문구 약령중앙로 77, 3층 (제기동)","근무복, 작업복 및 유사의복 제조업 외 1 종","근무복 운동복 교복 활동복, 셔츠",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 샘물MFG,02-2252-6056,서울특별시 동대문구 천호대로 39 (신설동),금속 가구 제조업 외 2 종,"싱크대, 작업대 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 성의통상,02-1588-8280,"서울특별시 동대문구 무학로20길 37, 2층 (용두동)",여자용 겉옷 제조업 외 6 종,"여성의류, 근무복, 작업복, 양말 및 스타킹, 모자",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 성협공예,02-2265-0781,"서울특별시 동대문구 서울시립대로 133, 3층(전농동, 천마빌딩)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,자개 제품(금속),서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 세림기획,02-2216-5345,"서울특별시 동대문구 천호대로83길 39, 지층 (장안동)",셔츠 및 블라우스 제조업 외 4 종,"단체복,티셔츠",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 세븐하베스트,,서울특별시 동대문구 장한로 140 (장안동) 4층 2호,차류 가공업 외 1 종,"곡물차, 곡물가공품",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 솔리드,010-5879-****,"서울특별시 동대문구 답십리로 293, 지층(장안동)",셔츠 및 블라우스 제조업 외 12 종,"셔츠, 근무복, 속옷, 체육복 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 슬립플랜,,"서울특별시 동대문구 답십리로59가길 4, 1,2층 (답십리동)",침구 및 관련제품 제조업,"담요, 매트리스, 매트리스 커버, 매트리스 패드, 베게, 스프링 매트리스, 시트, 요, 이불, 이불커버, 침낭",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 신성이에스,010-9492-****,"서울특별시 동대문구 장한로 39, 5층 504호 (장안동)",전시 및 광고용 조명장치 제조업 외 3 종,LED,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 에스오에스정보기술,02-2233-5558,서울특별시 동대문구 청계천로1가길 20 (신설동),스크린 인쇄업 외 1 종,"라벨인쇄, 무선송수신기",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 와이티컴퍼니,02-2241-7788,"서울특별시 동대문구 회기로 28, 2층 (제기동)","근무복, 작업복 및 유사의복 제조업 외 8 종","작업복,환자복 및 시트",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 워워,02-2272-2001,"서울특별시 동대문구 왕산로 274-1, 지하층, 1층, 2층(전농동)",자수제품 및 자수용재료 제조업 외 25 종,"의류, 근무복, 유니폼, 스웨터, 셔츠 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 청솔이앤씨,02-925-3080,"서울특별시 동대문구 서울시립대로 60, 2층, 지하일부 (전농동)",산업용 냉장 및 냉동 장비 제조업,산업용 냉장 및 냉동장비,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 커피가버먼트,02-6083-8036,"서울특별시 동대문구 서울시립대로 90, 1층 (전농동)",커피 가공업,원두커피,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 코백어패럴,,"서울특별시 동대문구 전농로 44, 3층 301호 (답십리동)","근무복, 작업복 및 유사의복 제조업 외 1 종","근무복, 작업복, 유사의복",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 코아,02-6959-8653,"서울특별시 동대문구 사가정로 238-4, 3층 (장안동)",자수제품 및 자수용재료 제조업 외 26 종,"의류(근무복, 유니폼, 스웨터, 셔츠) 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
진전스크린,02-922-4077,서울특별시 동대문구 회기로25길 100 (이문동),기타 광학기기 및 사진기 제조업 외 7 종,영사스크린,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
채연사,02-2246-4798,"서울특별시 동대문구 답십리로56길 103, 2층 (답십리동)",셔츠 및 블라우스 제조업 외 3 종,"작업복,근무복",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
카라유니폼,02-927-1206,"서울특별시 동대문구 왕산로13가길 13, 2층 (용두동)",셔츠 및 블라우스 제조업 외 3 종,"근무복,작업복,유사의복 제조",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
케어웨어,010-4385-****,서울특별시 동대문구 무학로28길 21 (용두동) 201호,"근무복, 작업복 및 유사의복 제조업 외 4 종",교복 등 의류,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
케이브릿지,02-969-6676,"서울특별시 동대문구 무학로34길 31, 4층(용두동)",남자용 겉옷 제조업 외 5 종,병원 가운류,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
코라이트 앤 가나 주식회사,02-454-0476,"서울특별시 동대문구 한천로 213, 1층,2층 (전농동)","근무복, 작업복 및 유사의복 제조업 외 14 종","의류, 의류, 의류, 의류, 의류, 의류, 의류, 안전장치, 안전장치, 안전장치, 안전장치, 안전장치, 안전장치, 안전장치, 안전장치",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
코모,02-2245-6551,"서울특별시 동대문구 서울시립대로27길 26, 지층 (전농동)","근무복, 작업복 및 유사의복 제조업 외 11 종","의류, 자켓, 바지, 내의 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
타래,02-3390-4302,"서울특별시 동대문구 답십리로 240, 3층, 지하1층 (장안동)","근무복, 작업복 및 유사의복 제조업 외 9 종",유니폼 제조,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
토바산업,02-2215-4905,"서울특별시 동대문구 천호대로85길 82, (지층) (장안동)",일반철물 제조업,욕실악세사리조립,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
투다온,010-8171-****,"서울특별시 동대문구 답십리로59길 33, 상가동 3층 308호(답십리동, 우성그린아파트)","근무복, 작업복 및 유사의복 제조업 외 3 종","근무복, 작업복, 유사의복",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
팍스제이 주식회사,,"서울특별시 동대문구 왕산로 131, 3층 (제기동)",기타 가정용 전기기기 제조업,이미용기기,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
펠레시마,02-2217-6767,"서울특별시 동대문구 답십리로 77, 우일빌딩 2층 (전농동)",핸드백 및 지갑 제조업 외 3 종,"핸드백 및 지갑, 벨트",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
하나에프앤지주식회사,02-2633-6123,"서울특별시 동대문구 천호대로16나길 10, 지층 (용두동)","근무복, 작업복 및 유사의복 제조업 외 6 종",의류,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
한국스포츠,02-2295-4845,"서울특별시 동대문구 천호대로87길 66, 2층 (장안동)",셔츠 및 블라우스 제조업 외 6 종,"의류, 운동복",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
한국패션사회적협동조합,02-2135-1660,서울특별시 동대문구 답십리로 45 (전농동) 110호,"근무복, 작업복 및 유사의복 제조업 외 5 종","근무복, 단체복 등 의류",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
한길이엔지,02-924-0604,"서울특별시 동대문구 무학로 76-1, 1층(용두동)",기타 1차 비철금속 제조업,"계측기, 상패부속",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
한미팩토리,02-2232-1163,"서울특별시 동대문구 안암로6길 21-9, 1층, 2층 (용두동)",금속 가구 제조업 외 2 종,"씽크대, 작업대, 벽선반 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
해성상사,02-2247-5368,"서울특별시 동대문구 장한로 67, 3층 (장안동)",셔츠 및 블라우스 제조업 외 8 종,셔츠 및 체육복 제조업 ,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
현진상사,02-2243-1152,"서울특별시 동대문구 장한로32길 17 (장안동, 현진빌딩)",모조 귀금속 및 모조 장신용품 제조업,악세사리,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
화진이앤씨(주),02-2245-2630,"서울특별시 동대문구 답십리로67길 9, 1층 (장안동)",철도차량 부품 및 관련 장치물 제조업 외 3 종,철도차량부품,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
